Attribute 1,Attribute 2,Attribute 3,Attribute 4,Attribute 5,Attribute 6,Attribute 7,Attribute 8,Attribute 9,Attribute 10,Attribute 11
762.628003,762.648596,770.626013,766.261999,765.489990,769.261987,760.205993,755.067188,742.629993,755.148010,771.927991
762.648596,770.626013,766.261999,765.489990,769.261987,760.205993,755.067188,742.629993,755.148010,771.927991,782.691394
770.626013,766.261999,765.489990,769.261987,760.205993,755.067188,742.629993,755.148010,771.927991,782.691394,788.048608
766.261999,765.489990,769.261987,760.205993,755.067188,742.629993,755.148010,771.927991,782.691394,788.048608,779.456006
765.489990,769.261987,760.205993,755.067188,742.629993,755.148010,771.927991,782.691394,788.048608,779.456006,759.124194
769.261987,760.205993,755.067188,742.629993,755.148010,771.927991,782.691394,788.048608,779.456006,759.124194,764.098010
760.205993,755.067188,742.629993,755.148010,771.927991,782.691394,788.048608,779.456006,759.124194,764.098010,772.140014
755.067188,742.629993,755.148010,771.927991,782.691394,788.048608,779.456006,759.124194,764.098010,772.140014,783.027991
742.629993,755.148010,771.927991,782.691394,788.048608,779.456006,759.124194,764.098010,772.140014,783.027991,789.081982
755.148010,771.927991,782.691394,788.048608,779.456006,759.124194,764.098010,772.140014,783.027991,789.081982,801.633997
771.927991,782.691394,788.048608,779.456006,759.124194,764.098010,772.140014,783.027991,789.081982,801.633997,797.337988
782.691394,788.048608,779.456006,759.124194,764.098010,772.140014,783.027991,789.081982,801.633997,797.337988,801.556006
788.048608,779.456006,759.124194,764.098010,772.140014,783.027991,789.081982,801.633997,797.337988,801.556006,810.767993
779.456006,759.124194,764.098010,772.140014,783.027991,789.081982,801.633997,797.337988,801.556006,810.767993,810.223999
759.124194,764.098010,772.140014,783.027991,789.081982,801.633997,797.337988,801.556006,810.767993,810.223999,797.447998
764.098010,772.140014,783.027991,789.081982,801.633997,797.337988,801.556006,810.767993,810.223999,797.447998,799.447986
772.140014,783.027991,789.081982,801.633997,797.337988,801.556006,810.767993,810.223999,797.447998,799.447986,800.773999
783.027991,789.081982,801.633997,797.337988,801.556006,810.767993,810.223999,797.447998,799.447986,800.773999,793.108997
789.081982,801.633997,797.337988,801.556006,810.767993,810.223999,797.447998,799.447986,800.773999,793.108997,780.614002
801.633997,797.337988,801.556006,810.767993,810.223999,797.447998,799.447986,800.773999,793.108997,780.614002,779.732019
797.337988,801.556006,810.767993,810.223999,797.447998,799.447986,800.773999,793.108997,780.614002,779.732019,778.363989
801.556006,810.767993,810.223999,797.447998,799.447986,800.773999,793.108997,780.614002,779.732019,778.363989,785.246009
810.767993,810.223999,797.447998,799.447986,800.773999,793.108997,780.614002,779.732019,778.363989,785.246009,785.132007
810.223999,797.447998,799.447986,800.773999,793.108997,780.614002,779.732019,778.363989,785.246009,785.132007,782.968005
797.447998,799.447986,800.773999,793.108997,780.614002,779.732019,778.363989,785.246009,785.132007,782.968005,776.045996
799.447986,800.773999,793.108997,780.614002,779.732019,778.363989,785.246009,785.132007,782.968005,776.045996,777.747986
800.773999,793.108997,780.614002,779.732019,778.363989,785.246009,785.132007,782.968005,776.045996,777.747986,777.993994
793.108997,780.614002,779.732019,778.363989,785.246009,785.132007,782.968005,776.045996,777.747986,777.993994,776.098010
780.614002,779.732019,778.363989,785.246009,785.132007,782.968005,776.045996,777.747986,777.993994,776.098010,772.987000
779.732019,778.363989,785.246009,785.132007,782.968005,776.045996,777.747986,777.993994,776.098010,772.987000,777.188000
778.363989,785.246009,785.132007,782.968005,776.045996,777.747986,777.993994,776.098010,772.987000,777.188000,778.298401
785.246009,785.132007,782.968005,776.045996,777.747986,777.993994,776.098010,772.987000,777.188000,778.298401,779.549988
